tweet,sentiment,sentiment_score,theme,theme_score,urgence,urgence_score,confiance,tweet_id,reponse_free
"à parce que débit très instable, n nfree en france: vitesse, performances, pannes et commentaires des utilisateurs n internet free n nvia",negatif,0.9,Pannes / Coupures,0.9,1,0.75,0.8492,1343458257915031553,Nous sommes désolés pour les difficultés rencontrées. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Merci de nous fournir plus de détails sur votre problème pour que nous puissions vous aider le plus efficacement possible.
et vous ça se passe comment la fibre ? n c est la misère vraiment jpp,negatif,0.95,Fibre,0.9,2,0.9,0.9158,1485331097844129798,Nous sommes désolés de l'expérience que vous avez vécue avec votre fibre. Nous vous proposons de vous aider à résoudre ce problème. Veuillez nous contacter par DM pour plus d'informations.
"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. j étais ce matin aux côtés d idriss, formateur au centre de formation technique à argenteuil, dans le val d oise.",neutre,0.9,Fibre,0.9,1,0.7,0.8325,1694675653205860558,"Nous sommes ravis de vous entendre! Si vous avez des questions ou des problèmes concernant votre offre Freebox, n'hésitez pas à nous contacter par téléphone au 3244 ou par courrier. Nous serons heureux de vous aider!"
"hello , et je crois que nous allons avoir prochainement un gros problème de fibre pboe",negatif,0.9,Fibre,0.9,1,0.7,0.8325,1695912123824546156,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous encouragons à nous contacter par DM pour analyser votre dossier et trouver une solution à votre problème de fibre. Nous sommes là pour vous aider.
"n nen 3 ans l équipe technique de free le boc m a t on dit n est pas capable d amener 3 mètres ou moins! de câble fibre, afin que j ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts . satisfaisant?!",negatif,0.95,Fibre,0.95,1,0.7,0.8658,1711773973401235737,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de vous contacter pour vous aider à résoudre ce problème. Veuillez nous joindre par DM avec vos informations de compte pour que nous puissions vous aider le plus rapidement possible.
". a 25 ans et tient toujours ses promesses en terme de pouvoir d achat et d innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire",positif,0.95,information,0.95,0,0.95,0.9491,1759266279620247842,"Merci pour ton retour, nous sommes ravis de t'entendre ! N'hésite pas à nous contacter si tu as des questions ou des idées à partager. 😊"
ça fonctionne super bien la fibre free ce soir... franchement c est abusé. déjà l autre soir la tv de free oqee était carrément indisponible ! ftth fibre free var,negatif,0.9,Fibre,0.95,1,0.7,0.8491,1762571081402011959,"Nous sommes désolés de l'expérience que vous avez vécue avec votre débit internet. Nous vous recommandons de nous contacter pour analyser le problème, nous pouvons vous aider par téléphone ou courrier. Merci de nous fournir les détails nécessaires pour que nous puissions vous aider le plus rapidement possible."
"et tout le réseau sachez qu une main courante va être déposée, et ira plus loin s il le faut. n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c est du harcèlement. nvos forfaits de merde j en veux pas.",negatif,0.95,processus_sav,0.9,2,0.95,0.9324,1811040987365421110,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par téléphone au 3244 pour discuter de votre problème de processus SAV. Nous serons heureux de vous aider.
"installer la fibre sans autorisation du propriétaire et en perçant de partout, c est normal ?",negatif,0.95,Fibre,0.9,2,0.95,0.9324,1812874502642049501,Nous sommes désolés pour l'expérience que vous avez vécue avec nous. Nous vous invitons à contacter notre service client via le numéro 3244 pour discuter de vos problèmes de fibre. Nous serons heureux de vous aider.
"on ne se rend pas assez compte que sans xavier niel aujourd hui on paierait tous nos forfaits 144,99 avec 65 sms par jour, 2h d appel par mois et 150mo de données mobiles",positif,0.9,information,0.95,0,1.0,0.949,1813101958900879811,"Merci pour ton retour, nous sommes ravis de t'entendre ! Si tu as des questions ou des suggestions, n'hesite pas à nous contacter via notre service client. 💬💬💬 #service_client"
