id,created_at,tweet,screen_name,name,user_id,in_reply_to
1343458257915031553,2020-12-28 08:26:23 +01:00,"💩 à parceque Débit Très instable, … Free en France vitesse, performances, pannes et commentaires des utilisateurs 👉 #fing #internet #Free via",m_annuel,M Annuel,1104790986801250304,
1480465391424053249,2022-01-10 10:03:49 +01:00,🎂 célèbre aujourdhui 10 ans de révolution mobile Notre CP 👉,GroupeIliad,Groupe iliad,3157961111,
1485331097844129798,2022-01-23 20:18:24 +01:00,Et vous ça se passe comment la fibre c’est la misère vraiment jpp,MitchelMcPat,MitchelMcPat,906220646492983296,
1694675653205860558,2023-08-24 13:38:55 +02:00,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle Jétais ce matin aux côtés dIdriss, formateur au centre de formation technique à Argenteuil, dans le ValdOise",jnbarrot,Jean-Noël Barrot,865482011523166209,
1695912123824546156,2023-08-27 23:32:13 +02:00,Hello et je crois que nous allons avoir prochainement un gros problème de fibre PBOE,rgaidot,ɹˈe͡ɪɡɪz,1245801,
1709659172361404776,2023-10-04 21:58:05 +02:00,Bonsoir je suis chez et voici ma bande passante #Freebox ⤵️ Vous allez pouvoir vous moquer deux dans votre prochain spot publicitaire 🤡,EllaVerite,𝔼lla 𝕍érité ⚖️ⓩ,1244306180794712065,
1711773973401235737,2023-10-10 18:01:33 +02:00,"En 3 ans l’équipe technique de Free le « BOC » m’a t’on dit n’est pas capable d’amener 3 mètres ou moins de câble Fibre, afin que j’ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts Satisfaisant",michfrapp,michfrapp,7458652,
1759266279620247842,2024-02-18 18:19:01 +01:00,"a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",TomReynaud1789,Thomas REYNAUD,1182315177347293184,
1762571081402011959,2024-02-27 21:11:07 +01:00,Ça fonctionne super bien la Fibre Free ce soir Franchement cest abusé Déjà lautre soir la TV de Free OQEE était carrément indisponible #FTTH #fibre #Free #Var,nephthys,Camille Bouiller,11038512,
1811040987365421110,2024-07-10 16:13:13 +02:00,"et tout le réseau sachez quune main courante va être déposée, et ira plus loin sil le faut 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données cest du harcèlement Vos forfaits de merde jen veux pas",FrenchTea13,Mary 🐇,1035075736850362368,
1812874502642049501,2024-07-15 17:38:57 +02:00,"Installer la fibre sans autorisation du propriétaire et en perçant de partout, cest normal",Tubbydev,Tubbydev,449802600,
1813101958900879811,2024-07-16 08:42:47 +02:00,"On ne se rend pas assez compte que sans Xavier Niel aujourdhui on paierait tous nos forfaits 144,99€ avec 65 SMS par jour, 2h dappel par mois et 150Mo de données mobiles",GrandOeil_,Rivergaro,1480924607758618624,
1813231927559643512,2024-07-16 17:19:14 +02:00,“C’était mieux avant” Avant,Xavier75,Xavier Niel,17744075,
1813254932449140912,2024-07-16 18:50:39 +02:00,13 minutes 13 sec cest le temps ENCOREEEEE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent INCOMPÉTENCE Ils ne répondent jamais,Ben29072013,Ben,1495878109773639684,
1813267588560134325,2024-07-16 19:40:56 +02:00,"Javais vu juste et il naura finalement fallu attendre que quelques heures Free ajoute actuellement les versions HDR de France 2 UHD et France 3 UHD De mauvais élève, et après de nombreux messages de mécontentements sur labsence de HDR, passe en tête en proposant dorénavant deux versions SDR et HDR De quoi satisfaire tout le monde pour ceux qui ont des problèmes avec le HDR 🥳 France 2 UHD canal 102 France 2 UHD HDR canal 103 France 3 UHD canal 104 ex canal 103 France 3 UHD HDR canal 105 Dispo suivant la freebox mettez en commentaire si vous lavez, ou pas, sur votre Freebox 4K, quelques bugs actuellement le temps de mettre en place les flux photo discord jartabul",ultrakfr,Ultra-K.fr,814459661718065152,
1813579520819286432,2024-07-17 16:20:27 +02:00,"Le service proximité de 1 des plus grosses arnaques de ces dernières annéesIncompétents et complètement dépassésTu en sais plus queux,tu leur dis ce qui marche pas,tu prends un rdv avec un technicien qui vient que ds 1 semaine Pratique pr le télétravail Plus de reponse",_Kirikou_,Kirikou,126365317,
1813581407668871481,2024-07-17 16:27:56 +02:00,"comment vous joindre jai été débité pour non restitution de matériel pour une résiliation de ligne que je nai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont arrivées directement",fannnoche,fannoche,874295773,
1813586665371513000,2024-07-17 16:48:50 +02:00,ma fibre HS depuis 3 semaines,tud0z,tudoz 🇫🇷,965603032019980288,1.8135855241097713e+18
1813586931986698575,2024-07-17 16:49:54 +02:00,Vous pouvez m’envoyer les avengers de la fibre svp les mêmes que j’ai chez ça fait 1mois que j’attend,mglp__,paulquivoitdanslenoir,1192138598243618816,1.8135855241097713e+18
1813604838682325386,2024-07-17 18:01:03 +02:00,"Bon je travaille En remote chez moi et ça fait 1 semaine que j’ai plus de connexion avec , ils ont envoyé un technicien qui a dit « on vous envoie un autres tech » et depuis plus de nouvelles, de base je kiff free, le boss etc etc mais la ,,,",Lorkydey,Thomas,1077152320893435904,
1813625655374098443,2024-07-17 19:23:46 +02:00,il va falloir revoir la sélection des installateurs de fibre optique J’ai pas commandé un fil pour étendre mon linge … le voisin non plus Donc va falloir revenir,Marc_Vador,Marc Vador,300699726,
1813628840624943206,2024-07-17 19:36:25 +02:00,"Bonjour Comptez vous intégrer les versions HDR de FR2 et FR3 sur les applis Oqee TV hors player pop LG TV Et si oui, sous quel délai approximatif à temps pour les JO Nous sommes nombreux à utiliser lappli sans le décodeur, ce serait très appréciable Merci par avance",gurbain69,PGIndyPacers,2495892351,1.8135501413470945e+18
1813633896136994907,2024-07-17 19:56:31 +02:00,12 Salut Free je désespère Client depuis 20 ans payant à chaque fois le renouvellement de mes box plein tarif sans jamais un geste commercial pour ses vieux clients Je subis depuis le moi de juin des coupures intempestifs de ma ligne,Motsen78,Motsen,1229545004026212353,
1813652642113229136,2024-07-17 21:11:00 +02:00,de l’aide s’il vous plaît 🙏🏼,soulakhey,Limonade.Rigolade,1291160596319211521,
1813672057575731665,2024-07-17 22:28:09 +02:00,"Ne passez pas chez free Depuis le mois de mai, jattends quils me rendent ma clé avec laquelle linstallateur free est parti",coWiqx,coWiqx ⏚🏴,1098976191703367685,1.8132099209986627e+18
1813684903856468282,2024-07-17 23:19:12 +02:00,pourquoi j’ai des bugs de connexion wsh je paye la fibre,Darknig78166491,Store-inodore,1645170841481519107,
1813698687253746036,2024-07-18 00:13:58 +02:00,Merci de mavoir fait passer une super soirée en live et merci pour ces 2 déconnexions pour une mise à jour de la box en pleine soirée En lespace de 2 mois jai déjà eu 2 soucis majeur de connexion avec votre box et ça sans JAMAIS aucun geste commercial,HugoRLT__,HugoRLT,1364927865817604100,
1813864570282541144,2024-07-18 11:13:08 +02:00,Bonjour je cherche à modifier des mots de passe de boîtes mails qui sont gérés chez vous sur des domaines un peu vieux Comment peuton faire ça na pas lair possible via la page webmail free,tontonyoy,tontonyoy,1560176012,
1813867624843055326,2024-07-18 11:25:16 +02:00,"Bonjour, mes parents ont fait leur inscription enfin le 9, et depuis pas de nouvelle toujours bloqué à cette étape, cest normal",hnchck,Quentin,2719734105,
1813886775799984228,2024-07-18 12:41:22 +02:00,"c’est normal des signalements pour pertes de synchro des dizaines de fois par jour, des rendezvous techniciens annulé sans prévenir le client, une assistance téléphonique qui indique que la ligne est rétablie alors que la Freebox est en étape 3 #freeboxUltra",AnthonyPiresG,Anthony Pires,95459203,
1813977091500802109,2024-07-18 18:40:15 +02:00,je ne comprend pas une amie abonnée chez vous avec la delta depuis 2 ans on lui a offert les frais de migration vers la ultra Moi je suis abonné chez vous depuis 2009 et a moi on me fait payer les frais de migration vers la ultra inadmissible,jacquesnote,jacques,85842120,
1814009656504885552,2024-07-18 20:49:39 +02:00,Depuis le 2306 je suis en attente d’un rdv pour la fibre chez je suis du coup pas encore client et je pense qu’a cette allure là je ne le serai jamais Honteux,Y__htz,Y_htz,3913341028,
1814030614103785545,2024-07-18 22:12:56 +02:00,dépêchez vous,ariii_miss,𝖒𝖎𝖘𝖆,1572276767972368386,1.814030270229607e+18
1814031065990001071,2024-07-18 22:14:43 +02:00,moi aussi jattend le technicien depuis une semaine,bavrooo,bavrooo🇩🇿,1026424100212944896,1.814030270229607e+18
1814034736118927866,2024-07-18 22:29:18 +02:00,"allo,avez vous des nouvelles pour le réseau SVP",GTrotereau,El Ché,4690380798,
1814035247333253492,2024-07-18 22:31:20 +02:00,Non plus rien depuis 15 mn même Coralie est chez Free en téléphonie et pas de réseau,GTrotereau,El Ché,4690380798,1.8140349329243958e+18
1814081417405497766,2024-07-19 01:34:48 +02:00,rendez la wifi,gnabxnahc,🍒 saw Ateez & seeing SKZ,3082013559,
1814208069481422980,2024-07-19 09:58:04 +02:00,Non mais vous répondre trois jours après Super le service après vente,Ben29072013,Ben,1495878109773639684,1.8142050430143e+18
1814215859520352478,2024-07-19 10:29:02 +02:00,Bonjour jai fait installer votre box depuis 10 min Mais comment on fait pour avoir un être humain en ligne pour assistance Impossible au 3244 ni au 1044 Merci,MasimSaid,Masim Said,870051000,
1814220122342470038,2024-07-19 10:45:58 +02:00,"bonjour Free Cela fait 1 mois que je nai plus internet Un rdv avait été fixé puis annulé pour, je cite puisque vous deviez intervenir dans les plus brefs délais Nous avons as la même notion de bref délais Que fautil faire pour avoir internet",Dorban,Dorban,15272956,
1814232564715966700,2024-07-19 11:35:24 +02:00,"Bonjour Monsieur Niel Voila plus 20 ans que jencense Free depuis Freesurf Jai tous mes forfaits chez vous Depuis le 15 fev maintenant, je nai plu la fibre pro dans ma société qui, de fait, est en péril Que faire Quelle déception",MichaelPincebo1,Michael Pincebourde,1583184890236964867,
