tweet,sentiment,sentiment_score,theme,theme_score,urgence,urgence_score,confiance,tweet_id,reponse_free
"💩 à parceque Débit Très instable, … Free en France vitesse, performances, pannes et commentaires des utilisateurs 👉 #fing #internet #Free via",negatif,0.95,Pannes et Coupures,0.9,2,0.9,0.9158,1343458257915031553,Nous sommes désolés pour l'inconvenient que vous avez rencontré. Nous vous proposons de vous aider à résoudre votre problème. Veuillez nous contacter par DM avec plus de détails sur votre situation. Nous sommes là pour vous aider.
🎂 célèbre aujourdhui 10 ans de révolution mobile Notre CP 👉,positif,0.95,Information,0.9,0,0.0,0.616,1480465391424053249,"Merci beaucoup pour ton retour ! Nous sommes ravis de t'entendre. Si tu as des questions ou des suggestions, n'hesite pas à nous contacter. 😊 #service_client #valorisation"
Et vous ça se passe comment la fibre c’est la misère vraiment jpp,negatif,0.95,Fibre optique,0.9,1,0.7,0.8491,1485331097844129798,Nous sommes désolés pour l'expérience que vous avez vécue avec notre service de fibre optique. Nous vous invitons à nous contacter par DM pour analyser votre dossier et trouver une solution rapide. Nous sommes là pour vous aider.
"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle Jétais ce matin aux côtés dIdriss, formateur au centre de formation technique à Argenteuil, dans le ValdOise",positif,0.95,Fibre optique,0.95,1,0.8,0.8991,1694675653205860558,"Merci pour ton retour, nous sommes ravis de t'entendre ! Si tu as des questions ou des remarques concernant notre offre de fibre optique, n'hesite pas à nous contacter par DM. Nous serons heureux de t'aider. 😊 #service_client #fibre_optique"
Hello et je crois que nous allons avoir prochainement un gros problème de fibre PBOE,negatif,0.8,Fibre optique,0.9,2,0.9,0.8658,1695912123824546156,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour vous aider avec vos problèmes de fibre optique. Nous serons heureux de vous fournir une solution le plus rapidement possible.
Bonsoir je suis chez et voici ma bande passante #Freebox ⤵️ Vous allez pouvoir vous moquer deux dans votre prochain spot publicitaire 🤡,negatif,0.9,Pannes et Coupures,0.95,1,0.7,0.8491,1709659172361404776,"Nous sommes désolés pour le problème que vous rencontrez actuellement. Nous vous invitons à nous contacter par DM pour vous aider à résoudre votre problème. Nous sommes là pour vous. (Thème : Pannes et Coupures, Urgence : 1, FAQ associée : pas spécifiée)"
"En 3 ans l’équipe technique de Free le « BOC » m’a t’on dit n’est pas capable d’amener 3 mètres ou moins de câble Fibre, afin que j’ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts Satisfaisant",negatif,0.95,Fibre optique,0.95,1,0.7,0.8658,1711773973401235737,"Nous sommes désolés de l'expérience que vous avez vécue avec votre service internet. Nous vous invitons à nous contacter via DM pour analyser votre dossier, afin de vous proposer une solution le plus rapidement possible."
"a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",positif,0.95,Information,0.9,0,0.1,0.6493,1759266279620247842,"Merci chaleureusement pour ton retour ! Nous sommes ravis de t'entendre. Si tu as une question ou une suggestion, n'hesite pas à nous contacter. 💬💬💬"
Ça fonctionne super bien la Fibre Free ce soir Franchement cest abusé Déjà lautre soir la TV de Free OQEE était carrément indisponible #FTTH #fibre #Free #Var,negatif,0.9,Pannes et Coupures,0.95,2,0.9,0.9158,1762571081402011959,Nous sommes désolés de l'inconvenient rencontré. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Merci de nous fournir plus de détails par DM. Nous sommes là pour vous aider.
"et tout le réseau sachez quune main courante va être déposée, et ira plus loin sil le faut 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données cest du harcèlement Vos forfaits de merde jen veux pas",negatif,0.95,Pannes et Coupures,0.9,2,0.9,0.9158,1811040987365421110,Nous sommes désolé pour votre inconvénient. Nous vous recommandons de contacter notre service clientèle en fournissant les détails de votre problème pour une prise en charge prioritaire. 3244 est le numéro à appeler pour assistance Freebox/Mobile (inclus depuis Freebox). Nous sommes là pour vous aider.
"Installer la fibre sans autorisation du propriétaire et en perçant de partout, cest normal",negatif,0.95,Pannes et Coupures,0.9,2,0.95,0.9324,1812874502642049501,Nous sommes désolés pour votre inconvénient. Nous vous recommandons de contacter notre service clientèle en appelant au numéro 3244 pour discuter de vos problèmes de débit. Nous serons heureux de vous aider.
"On ne se rend pas assez compte que sans Xavier Niel aujourdhui on paierait tous nos forfaits 144,99€ avec 65 SMS par jour, 2h dappel par mois et 150Mo de données mobiles",negatif,0.95,Facturation et Paiement,0.95,2,0.9,0.9324,1813101958900879811,Nous sommes désolés pour votre incompréhension concernant votre facture. Nous sommes prêts à vous aider. Veuillez nous contacter par DM avec les détails de votre contestation pour que nous puissions vous aider le plus rapidement possible.
“C’était mieux avant” Avant,negatif,0.9,Information,0.3,0,0.1,0.4329,1813231927559643512,"Nous sommes désolé de l'inconvenient rencontré. Pour contester une facture, veuillez nous contacter par téléphone ou courrier en précisant l'objet de la contestation, les dates et les montants concernés. Nous serons heureux de vous aider."
13 minutes 13 sec cest le temps ENCOREEEEE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent INCOMPÉTENCE Ils ne répondent jamais,negatif,0.95,Pannes et Coupures,0.9,2,0.9,0.9158,1813254932449140912,"Nous sommes désolés de l'expérience que vous avez vécue. Nous sommes prêts à vous aider. Veuillez nous contacter par DM pour vous fournir plus d'informations sur votre situation, afin que nous puissions vous proposer une solution adaptée."
