id,tweet,sentiment,thème,urgence,confiance
1343458257915001550,"à parce que débit très instable, in niliwe en france vitesse, performances, pannes et commentaires des utilisateurs in internet free n via 1",negatif,Débit Internet,2,0.88
1485331007844129798,et vous ca se passe comment la fibre ?n cest la misèrs vraiment ipp 2,negatif,Fibre,2,0.90
1694675653205860558,"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentiele, étais ce matin aux côtés d idriss, formateur au centre de formation 3",positif,Fibre,0,0.85
1695912123824546156,"hello, et je cras que nous allons avoir prochainement un gras problème de libre poce 4",neutre,Fibre,1,0.75
1711773873401235737,"nnen 3 ans i équipe technique de tree le boc mat on dit in est pas capable d amener mètres ou moinat de câble fibre, afin que jas ia fibre cende rouge comme mes voisines dont nos maisons sont mitoyennes cercles 5",negatif,Fibre,2,0.86
1758266270620247542,"25 ans et tent toujours ses promesses en terme de pouvoir d'achat et d innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, vuilà une promesse à laquelle les français peuvent crowe 6",positif,Remerciement,0,0.94
1762571081402011969,"ça fonctionne super bien la fitore free ce soir... franchement c est abuse, déja i autre soir la tv de free ogee était carrément indisponible ftth fibre se var 7",negatif,Panne Internet,2,0.72
1811040667365421110,"et tout le réseau sachez qu une main courtinte va être déposée, et ea plus loin sil le taut 16 appels en 2th avec numéros différents quand je demande de retiner mon numéro de vos bases de données c est du harcèler 8",negatif,Autre,3,0.92
1812874502642048501,installer la fibes sans autorisation du propriétaire et en perçant de partout. c est normal? 9,negatif,Fibre,3,0.91
1813101958900879611,"on ne se rend pas assez compte que sans xasier niel aujours hul on paierait tous nos fortaits 144.98 avec 65 snis par jour, 2h d appel par mois et 150mo de données mobiles 10",positif,Autre,0,0.95
1813579520819286432,le service proximité de 1 des plus grosses amaques de ces demlères années incompétents et complètement dépassés tu en sais plus qu eux tu leur dis ce qui marche pas tu prends in rdv avec un technicen qui vient qu 11,negatif,Espace Client,3,0.93
18135814076671461,"comment vous joindre 7 ja été débité pour non restitution de matériel pour une résiliation de ligne que je n'ai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont a 12",negatif,Facturation,3,0.92
1813586665371513000,ma fibre his depurs 3 semanes 13,negatif,Panne Internet,3,0.96
1813586931906688575,vous pouvez m envoyer les avengers de la fibre svp les mêmes que j'ai chez ça fait Tmois que jattend 14,negatif,Fibre,2,0.89
1813804838682325306,"bon je travaille en remote chez moi et ça fait 1 semaine quej ai plus de connexion avec, ils ont envoyé un technicien qui a dit on vous envoie un autres tech et depuis plus de nouvelles, de base je kiff tree le boss etc et 15",negatif,Panne Internet,3,0.95
1813625655374006443,Iva falloir révoir la sélection des installateurs de fibre optique ai pas commande un fil pour étendre mon linge le voisin non plus donc va falloir revenir !!! 16,negatif,Fibre,2,0.88
1813684903855458282,pourquoi jai des bugs de connexion wish je pave la fibre 17,negatif,Débit Internet,2,0.90
1813698687253746038,merci de in avale fait passer une super soirée en live et menci pour ces 2 déconnexions pour une mise à jour de la box en pleine soinke n nen espace de 2 mois jal déjà eu 2 soucis majeur de connexion avec votre box 18,negatif,Panne Internet,2,0.88
1813886775799984226,"cest normal des signatements pour pertes de synchro des dizaines de fois par jour, des rendez vous techniciens annulé sans prévenir le client, une assistance Miléphonique qui indique que la ligne est nétabille alors que 19",negatif,Panne Internet,3,0.94
1814009656504885552,depuis le 23 06 je sus en attente d un nov pour la fibre chez je sus du coup pas encore client et je pense qu'a cette afure là je ne le sera jamas honteux 20,negatif,Fibre,2,0.91
1814031065990001071,moi ausas jattend le technicien depuis une semaine 21,negatif,Fibre,2,0.89
1814034736118927866,allo avez vous des nouvelles pour le réseau svp 777 22,neutre,Panne Internet,1,0.85
1814035247333253492,non plus rien depuis 15 mn même coralle est chez lee en téléphonie et pas de réseau 23,negatif,Panne Internet,2,0.92
1814215859520352478,bonjourai falt installer votre box depuis 10 min mais comment on fait pour avoir un être humain en ligne pour assistance 7 impossible au 3244 ni au 1044. merci 24,negatif,Espace Client,2,0.90
1814220122342470038,"borijour free cela fall 1 mois que jen ai plus intemet un inthi avait été fixé puis annulé pour, je cite puisque vous deviez intervenir dans les plus brets délais nous avons as la même nation de bref délais, nque faut il faire 25",negatif,Panne Internet,3,0.95
1814222564715966700,"nbanjour monsieur niel võita plus 20 ans que j encense free depuis threesurf ni al tous mes forfaits chez vous.. ndepuis le 15 fev maintenant, je n ai plu la fibre pro dans ma société qui, de fait, est en peril que faire 73 26",negatif,Panne Internet,3,0.96
1814238911964512258,normal pour vous qu'un des ves employés a souscrit a ma place sans mon accord un abonnement free mobile et que i on me demande d'envoyer un coumer de rétractation pour un abonnement que je n ar pas pis 27,negatif,Facturation,3,0.93
