tweet_id,tweet,sentiment,sentiment_score,theme,theme_score,urgence,urgence_score,confiance,reponse_free
1343458257915031553,"à parce que débit très instable, n nfree en france: vitesse, performances, pannes et commentaires des utilisateurs n internet free n nvia",negatif,0.9,Pannes / Coupures,0.9,1,0.75,0.8492,"Nous sommes désolés de l'instabilité de votre débit Internet Free. Nous vous recommandons de vérifier les câbles et les connecteurs de votre box Internet. Si le problème persiste, merci de nous contacter en privé pour une analyse plus approfondie."
1485331097844129798,et vous ça se passe comment la fibre ? n c est la misère vraiment jpp,negatif,0.95,Fibre,0.9,2,0.9,0.9158,"Nous sommes désolés pour les difficultés rencontrées avec votre fibre. Nous vous recommandons de vérifier les câbles et les connecteurs, puis de redémarrer votre Freebox. Si les problèmes persistents, merci de nous contacter par DM pour une prise en charge prioritaire. Nous sommes là pour vous aider."
1694675653205860558,"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. j étais ce matin aux côtés d idriss, formateur au centre de formation technique à argenteuil, dans le val d oise.",neutre,0.9,Fibre,0.9,1,0.7,0.8325,"Merci d'avoir partagé votre expérience en tant que formateur, Idriss ! Nous sommes ravis de voir que nos techniciens sont bien formés pour déployer la fibre. N'hésitez pas à continuer à nous donner des retours sur vos formations. 🌐💪"
1695912123824546156,"hello , et je crois que nous allons avoir prochainement un gros problème de fibre pboe",negatif,0.9,Fibre,0.9,1,0.7,0.8325,"Nous sommes désolés pour les problèmes de fibre que vous rencontrez. Nous vous recommandons de vérifier les câbles et les voyants de votre Freebox Fibre. Si les problèmes persistents, veuillez nous contacter par DM pour une prise en charge prioritaire."
1711773973401235737,"n nen 3 ans l équipe technique de free le boc m a t on dit n est pas capable d amener 3 mètres ou moins! de câble fibre, afin que j ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts . satisfaisant?!",negatif,0.95,Fibre,0.95,1,0.7,0.8658,"Nous sommes désolés pour le problème rencontré avec votre connexion de fibre. Nous vous recommandons de vérifier les câbles et la jarretière optique. Si le problème persiste, veuillez nous contacter via DM pour une analyse plus approfondie. Nous sommes là pour vous aider."
1759266279620247842,". a 25 ans et tient toujours ses promesses en terme de pouvoir d achat et d innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire",positif,0.95,information,0.95,0,0.95,0.9491,"Merci pour votre fidélité de 3 quinquennats sans toucher aux prix de nos forfaits mobiles ! Nous sommes fier de vous offrir un service de qualité. Si vous avez besoin d'aide ou d'informations supplémentaires, n'hésitez pas à nous contacter."
1762571081402011959,ça fonctionne super bien la fibre free ce soir... franchement c est abusé. déjà l autre soir la tv de free oqee était carrément indisponible ! ftth fibre free var,negatif,0.9,Fibre,0.95,1,0.7,0.8491,"Nous sommes désolés de l'expérience inopinée que vous avez vécue avec votre fibre Free. Nous vous recommandons de vérifier les câbles et les voyants de votre Freebox Fibre pour trouver une solution rapide. Si le problème persiste, n'hésitez pas à nous contacter par DM pour une prise en charge prioritaire. Nous sommes là pour vous aider."
1811040987365421110,"et tout le réseau sachez qu une main courante va être déposée, et ira plus loin s il le faut. n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c est du harcèlement. nvos forfaits de merde j en veux pas.",negatif,0.95,processus_sav,0.9,2,0.95,0.9324,Nous sommes désolés de l'expérience décevante que vous avez vécue. Nous comprenons votre inquiétude et nous sommes prêts à vous aider. Pourrait-il vous plaire de nous contacter par DM pour discuter de vos problèmes et trouver une solution ? Nous sommes là pour vous.
1812874502642049501,"installer la fibre sans autorisation du propriétaire et en perçant de partout, c est normal ?",negatif,0.95,Fibre,0.9,2,0.95,0.9324,"Nous sommes désolé pour l'inconvenient rencontré. Nous vous conseillons de vérifier les câbles et les connecteurs de votre fibre, en particulier la jarretière optique. Si le problème persiste, n'hésitez pas à nous contacter pour une prise en charge prioritaire."
1813101958900879811,"on ne se rend pas assez compte que sans xavier niel aujourd hui on paierait tous nos forfaits 144,99 avec 65 sms par jour, 2h d appel par mois et 150mo de données mobiles",positif,0.9,information,0.95,0,1.0,0.949,"Merci pour ton commentaire ! Nous sommes heureux de savoir que tu apprécies notre offre Free avec Xavier Niel. Pour plus d'informations sur nos forfaits, tu peux consulter notre FAQ sur notre site web."
1813579520819286432,"le service proximité de 1 des plus grosses arnaques de ces dernières années.incompétents et complètement dépassés.tu en sais plus qu eux,tu leur dis ce qui marche pas,tu prends un rdv avec un technicien qui vient que ds 1 semaine! npratique pr le télétravail! nplus de reponse",negatif,0.95,processus_sav,0.9,2,0.95,0.9324,"Nous entendons vos inquiétudes et nous sommes désolés de l'expérience que vous avez eue avec notre service Proximité. Nous sommes engagés à vous apporter une solution le plus rapidement possible. Pour cela, nous vous invitons à nous contacter par DM pour analyser votre dossier et proposer une solution adaptée à vos besoins. Nous sommes là pour vous aider."
1813581407668871481,"comment vous joindre ? j ai été débité pour non restitution de matériel pour une résiliation de ligne que je n ai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont arrivées directement.",negatif,0.95,Facturation / Paiement,0.9,2,0.95,0.9324,"Nous sommes désolés pour votre inconvénient. Nous comprenons que vous avez été débité pour non-restitution de matériel, ce qui ne correspond pas à votre situation. Nous vous invitons à nous contacter par DM pour réparer ce problème. Nous serons heureux de vous aider."
1813586665371513000,ma fibre hs depuis 3 semaines,negatif,0.95,Fibre,0.95,2,0.95,0.9491,"Nous sommes désolés de l'expérience que vous avez vécue avec votre fibre HS. Pour commencer, vérifiez que tous les câbles sont bien branchés et que la jarretière optique n'est pas pliée ou écrasée. Si le problème persiste, n'hésitez pas à nous contacter par DM pour une prise en charge prioritaire. Nous sommes là pour vous aider."
1813586931986698575,vous pouvez m envoyer les avengers de la fibre svp les mêmes que j ai chez ça fait 1mois que j attend,negatif,0.9,Fibre,0.95,2,0.9,0.9158,"Nous sommes désolés de l'attente que vous avez à faire avec le service de fibre. Nous vous recommandons de vérifier les câbles et les connecteurs pour assurer que tout est bien branché. Si le problème persiste, merci de nous contacter en privé pour plus d'informations. Nous sommes là pour vous aider."
1813604838682325386,"bon je travaille en remote chez moi et ça fait 1 semaine que j ai plus de connexion avec , ils ont envoyé un technicien qui a dit on vous envoie un autres tech et depuis plus de nouvelles, de base je kiff free, le boss etc etc mais la ,,,.",negatif,0.9,processus_sav,0.9,2,0.95,0.9158,Nous sommes désolés pour les difficultés rencontrées avec votre connexion. Nous avons pris note de votre situation et nous vous proposons de vous contacter par DM pour trouver une solution rapide. Nous sommes là pour vous aider.
1813625655374098443,il va falloir revoir la sélection des installateurs de fibre optique !!! j ai pas commandé un fil pour étendre mon linge le voisin non plus ! donc va falloir revenir !!!,negatif,0.95,Fibre,0.95,1,0.7,0.8658,"Nous sommes désolé pour l'inconvenient rencontré avec votre connexion Fibre. Nous vous recommandons de vérifier les câbles et les prises, en suivant les étapes de diagnostic fournies dans notre guide SAV Free. Si le problème persiste, merci de nous contacter par DM avec vos informations de ligne pour une prise en charge prioritaire. Nous sommes là pour vous aider."
1813684903856468282,pourquoi j ai des bugs de connexion wsh je paye la fibre,negatif,0.95,Fibre,0.9,1,0.7,0.8491,"Nous sommes désolé de l'expérience que vous avez avec votre connexion Freebox Fibre. Essayez d'effectuer quelques vérifications rapides : assurez-vous que tous les câbles sont bien branchés, que la jarretière optique n'est pas pliée ou écrasée, et que aucune prise n'a été débranchée récemment. Si les problèmes persistent, veuillez nous contacter via DM pour une analyse plus approfondie. Nous sommes là pour vous aider."
1813698687253746036,merci de m avoir fait passer une super soirée en live et merci pour ces 2 déconnexions pour une mise à jour de la box en pleine soirée... n nen l espace de 2 mois j ai déjà eu 2 soucis majeur de connexion avec votre box.... et ça sans jamais aucun geste commercial...,negatif,0.95,Pannes / Coupures,0.9,1,0.7,0.8491,Nous sommes désolés de l'expérience décevante que vous avez vécue ces derniers mois. Nous comprenons votre inquiétude et nous sommes prêts à vous aider. Veuillez nous contacter par DM pour analyser votre cas et trouver une solution rapide. Nous sommes là pour vous.
