id,tweet,sentiment,thème,urgence,confiance
1343458257915001550,"à parce que débit très instable, in niliwe en france vitesse, performances, pannes et commentaires des utilisateurs in internet free n via",negatif,Débit Internet,2,0.85
1485331007844129798,et vous ca se passe comment la fibre ?n cest la misèrs vraiment ipp,negatif,Fibre,2,0.80
1694675653205860558,"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentiele, étais ce matin aux côtés d idriss, formateur au centre de formation",neutre,Fibre,0,0.90
1695912123824546156,"hello, et je cras que nous allons avoir prochainement un gras problème de libre poce",negatif,Fibre,1,0.75
1711773873401235737,"nnen 3 ans i équipe technique de tree le boc mat on dit in est pas capable d amener mètres ou moinat de câble fibre, afin que jas ia fibre cende rouge comme mes voisines dont nos maisons sont mitoyennes cercles",negatif,Fibre,2,0.88
1758266270620247542,"25 ans et tent toujours ses promesses en terme de pouvoir d'achat et d innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, vuilà une promesse à laquelle les français peuvent crowe",positif,Autre,0,0.92
1762571081402011969,"ça fonctionne super bien la fitore free ce soir... franchement c est abuse, déja i autre soir la tv de free ogee était carrément indisponible ftth fibre se var",negatif,Panne Internet,3,0.87
1811040667365421110,"et tout le réseau sachez qu une main courtinte va être déposée, et ea plus loin sil le taut 16 appels en 2th avec numéros différents quand je demande de retiner mon numéro de vos bases de données c est du harcèler",negatif,Espace Client,3,0.85
1812874502642048501,installer la fibes sans autorisation du propriétaire et en perçant de partout. c est normal?,negatif,Fibre,2,0.80
1813101958900879611,"on ne se rend pas assez compte que sans xasier niel aujours hul on paierait tous nos fortaits 144.98 avec 65 snis par jour, 2h d appel par mois et 150mo de données mobiles",positif,Autre,0,0.90
1813579520819286432,le service proximité de 1 des plus grosses amaques de ces demlères années incompétents et complètement dépassés tu en sais plus qu eux tu leur dis ce qui marche pas tu prends in rdv avec un technicen qui vient qu,negatif,Espace Client,2,0.82
18135814076671461,"comment vous joindre 7 ja été débité pour non restitution de matériel pour une résiliation de ligne que je n'ai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont a",negatif,Facturation,2,0.85
1813586665371513000,ma fibre his depurs 3 semanes,negatif,Panne Internet,3,0.87
1813586931906688575,vous pouvez m envoyer les avengers de la fibre svp les mêmes que j'ai chez ça fait Tmois que jattend,negatif,Fibre,2,0.80
1813804838682325306,"bon je travaille en remote chez moi et ça fait 1 semaine quej ai plus de connexion avec, ils ont envoyé un technicien qui a dit on vous envoie un autres tech et depuis plus de nouvelles, de base je kiff tree le boss etc et",negatif,Panne Internet,3,0.89
1813625655374006443,Iva falloir révoir la sélection des installateurs de fibre optique ai pas commande un fil pour étendre mon linge le voisin non plus donc va falloir revenir !!!,negatif,Fibre,2,0.78
1813684903855458282,pourquoi jai des bugs de connexion wish je pave la fibre,negatif,Débit Internet,2,0.80
1813698687253746038,merci de in avale fait passer une super soirée en live et menci pour ces 2 déconnexions pour une mise à jour de la box en pleine soinke n nen espace de 2 mois jal déjà eu 2 soucis majeur de connexion avec votre box,negatif,Panne Internet,2,0.84
1813886775799984226,"cest normal des signatements pour pertes de synchro des dizaines de fois par jour, des rendez vous techniciens annulé sans prévenir le client, une assistance Miléphonique qui indique que la ligne est nétabille alors que",negatif,Panne Internet,3,0.86
1814009656504885552,depuis le 23 06 je sus en attente d un nov pour la fibre chez je sus du coup pas encore client et je pense qu'a cette afure là je ne le sera jamas honteux,negatif,Fibre,2,0.83
1814031065990001071,moi ausas jattend le technicien depuis une semaine,negatif,Fibre,2,0.78
1814034736118927866,allo avez vous des nouvelles pour le réseau svp 777,neutre,Panne Internet,1,0.88
1814035247333253492,non plus rien depuis 15 mn même coralle est chez lee en téléphonie et pas de réseau,negatif,Panne Internet,2,0.82
1814215859520352478,bonjourai falt installer votre box depuis 10 min mais comment on fait pour avoir un être humain en ligne pour assistance 7 impossible au 3244 ni au 1044. merci,negatif,Espace Client,2,0.81
1814220122342470038,"borijour free cela fall 1 mois que jen ai plus intemet un inthi avait été fixé puis annulé pour, je cite puisque vous deviez intervenir dans les plus brets délais nous avons as la même nation de bref délais, nque faut il faire",negatif,Panne Internet,3,0.89
1814222564715966700,"nbanjour monsieur niel võita plus 20 ans que j encense free depuis threesurf ni al tous mes forfaits chez vous.. ndepuis le 15 fev maintenant, je n ai plu la fibre pro dans ma société qui, de fait, est en peril que faire 73",negatif,Panne Internet,3,0.91
1814238911964512258,normal pour vous qu'un des ves employés a souscrit a ma place sans mon accord un abonnement free mobile et que i on me demande d'envoyer un coumer de rétractation pour un abonnement que je n ar pas pis,negatif,Facturation,2,0.83
1814253298322477539,dites vous avez pas honte de couper toute connexion et o afficher un message demeur sur is freebox contactez un technicien pour installer la fibre c est quoi ce forcing en pleines vacances d'été? vous pouvez pas atte,negatif,Panne Internet,3,0.87
1814266726114107603,"3 semaines sans intermet et rien ne bouge malgré plusieurs appels, des rdv lechniciens annulés chez free quand ça fonctionne c est bien mais quand il y a un problème technique in y a plus personne, ni même au félés",negatif,Panne Internet,3,0.86
1814276844889289008,"impossible de contacter I assistance free si c est pas avec le numero de mobile de la personne concernée super, on peut pas aider les retraités",negatif,Espace Client,2,0.79
1814296005510144200,assistance tree devient complètement aberrante. invention de proxy amange pas moins la situation,negatif,Espace Client,2,0.77
1814327041547145515,"est normal de balader vos clients victimes d un écrasement de ligne pendant un mois sans aucune information sur un délaid intervention? pourtant la loi vous donne & jours pour rétablir la connexion, ou alors tree je n",negatif,Panne Internet,3,0.88
1814338903992541578,"est quoi le problème avec la will de chez moin amite pas de sauter, je paye par mois pour ne pas avoir de connexion foutaise!",negatif,Panne Internet,3,0.85
1814348139550012633,"commence vraiment à magacer 3 jours pas de tv pas di intemel, censé être rétabli à 16h, toujours rien c est pas la fare fois que ça merde",negatif,Panne Internet,2,0.84
1814348631937311037,"ncoucou jen arrive pas à me fare comprendre par votre conseiller, in nje souhaite avoir freebox ultra, nje possède déjà un ubo netfix prime nje n'aura plus qu à payer la différence entre le tant de votre fortalt nettl",neutre,Autre,1,0.80
1814351242038884167,problème de flux tv sur levallois 92300 alors que le débit internet est ok nous avez des soucis identifiés 7,neutre,Panne Internet,1,0.89
1814383725663016160,dem I est à cause de la panne mondiale 7,neutre,Panne Internet,1,0.86
1814354533444673583,"oui moi aunai ma freebox neste avec éccan figé, pour intemet pas de problème, mais la télé une catastrophes élent et ratlumé la freebox tv mais impossibile de receder les chaines tv",negatif,Panne Internet,3,0.88
1814356388652429576,panne freebox en cours n. 20 freenautes ont signalé des pannes internet dont 15 sur le réseau fibre de free depuis 15htë in ville concemée: la roque d antheran 13640 n,neutre,Panne Internet,1,0.91
1814361238320585218,allin pb surie réseau? aucune communication aucun message ça serait bien it informer les clients!!!,negatif,Panne Internet,2,0.85
1814362029194617328,"panne tv ici dans 78, ndowndetector remonte une explosion des problèmes une communication?",negatif,Panne Internet,2,0.86
1814382356207750446,encore et encore,negatif,Panne Internet,2,0.75
1814383066600047901,je confirme panne sur free tv oqeel,neutre,Panne Internet,1,0.89
1814364867035324900,"problème panne authentification de la freebox bloquée sur étape 6, département des tandes depuis 20mn environ",negatif,Panne Internet,3,0.88
1814365177101534830,oul panne sur les fheebox,neutre,Panne Internet,1,0.90
1814365932426539130,vous aussi vous êtes bloqués à l étape avec votre freebox? parine free freebox,neutre,Panne Internet,1,0.85
1814385941045604823,"panne internet plus de, francsinloty, chez",negatif,Panne Internet,3,0.86
181436602577,borijour pas de connexion ce soir sur ma box,negatif,Panne Internet,3,0.88
1814366189977583632,"oui pareil, apparemment il y a une panne",neutre,Panne Internet,1,0.90
1814386412007256112,bonjour free incidents en ce moment en fibre sur la france ? dans I herault 7 béziers 7 merci de votre réponse,neutre,Panne Internet,1,0.91
1814366416214048928,plus of internet depuis 45 min 77,negatif,Panne Internet,3,0.88
1814366706382863042,et sa continue maintenant internet freebox qui fonctionne plus merde,negatif,Panne Internet,3,0.86
1814367603932145955,n freeboxultra pireboxdumonde ndeja un débit pourrit ta tv qui freeze comme de adsl et la camément rien qui marche ce soir et pour prévenir de i incident ça ne marche pas non plus ndifficilie de ne pas va détestéria,negatif,Panne Internet,3,0.87
1814367744072228929,non est vendredi soir je na plus aucune chaîne de télévision depuis une derni heure aucun accès non plus à l assistance eri ligne page d erreur ou par téléphone ne répond pas n netonnamment ça commence à me,negatif,Panne Internet,3,0.86
1814368111984029869,y a une panne chat free ou quoi? ma box est bloqué à étape 6,neutre,Panne Internet,2,0.88
1814368425481222621,help free plis d intermet et impossible de vous joindre par téléphone,negatif,Panne Internet,3,0.87
1814388437122035989,encore en panne sur besançon mais c est quoi ce bordel depuis 2mas 7777 n freebox free,negatif,Panne Internet,3,0.86
1814368731113324770,panne freebox probleme connexion,neutre,Panne Internet,1,0.90
1814368748837192638,en partine aussi,neutre,Panne Internet,1,0.88
