index,id,screen_name,categorie,issues,extrait
1,1393158240083587075,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @free: Retrouvez désormais @ToonamiFR, la chaîne pour tous les fans de super-héros sur le canal 8..."
2,1403337211475546112,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @free: A suivre ce soir, le 1er match de l’UEFA EURO 2020™ en #4K sur votre Freebox avec TF1 4K !..."
3,1403337257571004417,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @free: Disponible sur le canal 101 avec les Freebox compatibles, Pop, Delta Devialet &amp; Mini4k..."
4,1418550491034882052,Freebox,Spam/Promotion,Spam ou promotion non pertinente,"« Faites vos premiers pas avec nous ! Découvrez votre nouveau site d'assistance Freebox et Mobile, s..."
5,1424635437834981377,Freebox,RT/Partage,Retweet (pas une demande directe),RT @free: ⚠️ Des personnes malveillantes se font passer pour le service client de Free dans le but d...
6,1436312920124760064,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @free: [NOUVEAU]\nAbonnés Freebox Pop, pour bien commencer la rentrée, CANAL+SÉRIES vous est offe..."
7,1437793652827463680,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @BusyspiderFr: Astuce 💡Chez @Free les Emails sont à vie, mais suite à résiliation @Freebox, ils d..."
9,1446153856849743873,Freebox,RT/Partage,Retweet (pas une demande directe),RT @free: Vous allez commencer le match avec 15 min de retard ?  Pas de soucis avec la fonction Star...
10,1450733388390965251,Freebox,RT/Partage,Retweet (pas une demande directe),RT @free: L'application Freebox Home est maintenant disponible en version officielle pour Android &a...
11,1466056554667548691,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @Free_1337: Une coupure de fibres ""multi opérateurs"" engendre depuis ce matin des perturbations d..."
12,1468535102808416264,Freebox,RT/Partage,Retweet (pas une demande directe),RT @Free_1337: Nous avons un incident qui engendre une perte de service de certains abonnés sur les ...
13,1468923610521870340,Freebox,RT/Partage,Retweet (pas une demande directe),RT @Free_1337: Une rupture de fibre entraîne des perturbations de service dans la région de Cernay L...
14,1469294236440969226,Freebox,RT/Partage,Retweet (pas une demande directe),RT @Free_1337: Une rupture de fibre entraîne des perturbations de service depuis 14h30 sur une parti...
16,1471133735865098240,Freebox,RT/Partage,Retweet (pas une demande directe),RT @Free_1337: Un incident sur nos fibres engendre des perturbations de service sur une partie des d...
