id,created_at,full_text,screen_name,name,user_id,in_reply_to,categorie,clean_full_text,llm_tone,llm_tone_expl,llm_keywords,llm_category,llm_raw
1343458257915031553,2020-12-28 07:26:23+00:00,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect",m_annuel,M Annuel,1104790986801250304,,Plainte service,parce que d bit tr s instable n nfree en france vitesse performances pannes et commentaires des utilisateurs n n nvia,negative,"critique sur instabilité, pannes et performances médiocres du service Free","['free', 'france', 'instable', 'vitesse', 'performances', 'pannes', 'utilisateurs', 'bit', 'débit', 'réseau', 'problèmes', 'connexion', 'lenteur', 'qualité', 'service', 'médiocre', 'défauts', 'réclamations', 'expérience', 'dégâts', 'faible', 'insatisfaction', 'technique', 'dysfonctionnements', 'commentaires']",probleme_reseau,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""critique sur instabilité, pannes et performances médiocres du service Free"",
  ""keywords"": [
    ""free"",
    ""france"",
    ""instable"",
    ""vitesse"",
    ""performances"",
    ""pannes"",
    ""utilisateurs"",
    ""bit"",
    ""débit"",
    ""réseau"",
    ""problèmes"",
    ""connexion"",
    ""lenteur"",
    ""qualité"",
    ""service"",
    ""médiocre"",
    ""défauts"",
    ""réclamations"",
    ""expérience"",
    ""dégâts"",
    ""faible"",
    ""insatisfaction"",
    ""technique"",
    ""dysfonctionnements"",
    ""commentaires""
  ],
  ""category"": ""probleme_reseau""
}
```"
1485331097844129798,2022-01-23 19:18:24+00:00,Et vous ça se passe comment la fibre ?\n@Sosh_fr @CovageIDF_OUEST c’est la misère vraiment jpp https://t.co/I41UXroh0F,MitchelMcPat,MitchelMcPat,906220646492983296,,Demande d'aide,et vous a se passe comment la fibre n c est la mis re vraiment jpp,,,[],,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""frustration évidente envers la fibre, langage familier et exaspéré ('jpp')"",
  ""keywords"": [
    ""fibre"",
    ""misère"",
    ""jpp"",  // *argot pour ""j'en peux plus"" (conservé comme mot-clé contextuel)*
    ""passe"",
    ""vous"",
    ""comment"",
    ""vraiment"",
    ""n’c"",  // *variante orale de ""n’est ce""*
    ""problème"",  // *implicite*
    ""lent"",  // *sous-entendu par ""misère""*
    ""déçu"",  // *ton général*
    ""réseau"",  // *lié à ""fibre""*
    ""qualité"",
    ""mauvais"",
    ""service"",
    ""client"",
    ""délai"",
    ""attente"",
    ""technique"",
    ""défaut"",
    ""colère"",
    ""incompétence"",  // *sous-entendue*
    ""abandon"",
    ""désespoir"",  // *""jpp""*
    ""opérateur"",
    ""connexion""
  ],
  ""category"": ""probleme_reseau""
}
```"
1694675653205860558,2023-08-24 11:38:55+00:00,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique @free à Argenteuil, dans le Val-d'Oise. https://t.co/nKKA40veRw",jnbarrot,Jean-Noël Barrot,865482011523166209,,Question technique,dans la lutte contre les installations sauvages et les infrastructures d grad es la bonne formation des techniciens qui d ploient la fibre est essentielle j tais ce matin aux c t s d idriss formateur au centre de formation technique argenteuil dans le val d oise,positive,valorisation de la formation technique et engagement dans la lutte contre les installations illégales,"['lutte', 'installations', 'sauvages', 'infrastructures', 'dégradées', 'formation', 'techniciens', 'déploient', 'fibre', 'essentielle', 'matin', 'Idriss', 'formateur', 'centre', 'formation', 'technique', 'Argenteuil', 'Val-d’Oise', 'engagement', 'qualité', 'réseau', 'professionnels', 'compétences', 'déploiement', 'réglementation']",technique,"```json
{
  ""tone"": ""positive"",
  ""tone_explanation"": ""valorisation de la formation technique et engagement dans la lutte contre les installations illégales"",
  ""keywords"": [
    ""lutte"",
    ""installations"",
    ""sauvages"",
    ""infrastructures"",
    ""dégradées"",
    ""formation"",
    ""techniciens"",
    ""déploient"",
    ""fibre"",
    ""essentielle"",
    ""matin"",
    ""Idriss"",
    ""formateur"",
    ""centre"",
    ""formation"",
    ""technique"",
    ""Argenteuil"",
    ""Val-d’Oise"",
    ""engagement"",
    ""qualité"",
    ""réseau"",
    ""professionnels"",
    ""compétences"",
    ""déploiement"",
    ""réglementation""
  ],
  ""category"": ""technique""
}
```"
1695912123824546156,2023-08-27 21:32:13+00:00,"Hello @free, @Freebox et @orange je crois que nous allons avoir prochainement un gros problème de fibre / PBOE https://t.co/IreryVRyFc",rgaidot,ɹˈe͡ɪɡɪz,1245801,,Plainte service,hello et je crois que nous allons avoir prochainement un gros probl me de fibre pboe,negative,anticipation d'un problème technique imminent avec inquiétude,"['gros', 'problème', 'fibre', 'pboe', 'prochainement', 'hello', 'crois', 'avons', 'technique', 'réseau', 'défaut', 'crainte', 'anticipation', 'dysfonctionnement', 'connexion', 'opérateur', 'risque', 'panne', 'dégradation', 'service', 'urgent', 'alerte', 'inquiétude', 'matériel', 'infrastructure']",probleme_reseau,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""anticipation d'un problème technique imminent avec inquiétude"",
  ""keywords"": [
    ""gros"", ""problème"", ""fibre"", ""pboe"", ""prochainement"",
    ""hello"", ""crois"", ""avons"", ""technique"", ""réseau"",
    ""défaut"", ""crainte"", ""anticipation"", ""dysfonctionnement"", ""connexion"",
    ""opérateur"", ""risque"", ""panne"", ""dégradation"", ""service"",
    ""urgent"", ""alerte"", ""inquiétude"", ""matériel"", ""infrastructure""
  ],
  ""category"": ""probleme_reseau""
}
```"
1709659172361404776,2023-10-04 19:58:05+00:00,"Bonsoir @WavemakerFR, je suis chez @free et voici ma bande passante #Freebox ⤵️\nVous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire @reef_telecom\n\n@Freebox @FreePro @GroupeIliad @Xavier75 🤡 https://t.co/f2CDpSoXJF",EllaVerite,𝔼lla 𝕍érité ⚖️ⓩ,1244306180794712065,,Autre,bonsoir je suis chez et voici ma bande passante nvous allez pouvoir vous moquer d eux dans votre prochain spot publicitaire n n,negative,"ton sarcastique envers la qualité du service (bande passante faible, moquerie envers la pub)","['bonsoir', 'chez', 'bande', 'passante', 'pouvoir', 'moquer', 'prochain', 'spot', 'publicitaire', 'qualité', 'service', 'faible', 'sarcastique', 'réseau', 'lent', 'débits', 'opérateur', 'client', 'insatisfaction', 'ironie', 'médiocre', 'connexion', 'problème', 'dérision', 'promesses']",probleme_reseau,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""ton sarcastique envers la qualité du service (bande passante faible, moquerie envers la pub)"",
  ""keywords"": [
    ""bonsoir"", ""chez"", ""bande"", ""passante"", ""pouvoir"", ""moquer"", ""prochain"",
    ""spot"", ""publicitaire"", ""qualité"", ""service"", ""faible"", ""sarcastique"",
    ""réseau"", ""lent"", ""débits"", ""opérateur"", ""client"", ""insatisfaction"",
    ""ironie"", ""médiocre"", ""connexion"", ""problème"", ""dérision"", ""promesses""
  ],
  ""category"": ""probleme_reseau""
}
```"
1711773973401235737,2023-10-10 16:01:33+00:00,"@free @Xavier75 @NThomas82Free \n\nEn 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! https://t.co/Z1Wn4nhGmu",michfrapp,michfrapp,7458652,,Question technique,n nen 3 ans l quipe technique de free le boc m a t on dit n est pas capable d amener 3 m tres ou moins de c ble fibre afin que j ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts satisfaisant,negative,frustration face à un service inégal et des promesses non tenues depuis 3 ans,"['3 ans', 'équipe technique', 'free', 'incapable', '3 mètres', 'câble fibre', 'fibre', 'cercle rouge', 'voisines', 'maisons mitoyennes', 'cercles verts', 'satisfaisant', 'technique', 'promesses', 'retard', 'inégalité', 'service', 'domicile', 'installation', 'échec', 'problème', 'réseau', 'délai', 'comparaison', 'insatisfaction']",probleme_reseau,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""frustration face à un service inégal et des promesses non tenues depuis 3 ans"",
  ""keywords"": [
    ""3 ans"",
    ""équipe technique"",
    ""free"",
    ""incapable"",
    ""3 mètres"",
    ""câble fibre"",
    ""fibre"",
    ""cercle rouge"",
    ""voisines"",
    ""maisons mitoyennes"",
    ""cercles verts"",
    ""satisfaisant"",
    ""technique"",
    ""promesses"",
    ""retard"",
    ""inégalité"",
    ""service"",
    ""domicile"",
    ""installation"",
    ""échec"",
    ""problème"",
    ""réseau"",
    ""délai"",
    ""comparaison"",
    ""insatisfaction""
  ],
  ""category"": ""probleme_reseau""
}
```"
1759266279620247842,2024-02-18 17:19:01+00:00,".@free a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",TomReynaud1789,Thomas REYNAUD,1182315177347293184,,Autre,a 25 ans et tient toujours ses promesses en terme de pouvoir d achat et d innovation 3 quinquennats sans toucher aux prix de nos forfaits mobiles voil une promesse laquelle les fran ais peuvent croire,positive,éloge de la stabilité tarifaire et de l'innovation sur 15 ans,"['promesses', 'pouvoir', 'achat', 'innovation', 'quinquennats', 'forfaits', 'mobiles', 'prix', 'français', 'croire', '25', 'ans', 'tenir', 'stabilité', 'tarifaire', 'éloge', 'fidélité', 'engagement', 'long', 'terme', 'confiance', 'opérateur', 'durabilité', 'avantage', 'clients']",commercial,"```json
{
  ""tone"": ""positive"",
  ""tone_explanation"": ""éloge de la stabilité tarifaire et de l'innovation sur 15 ans"",
  ""keywords"": [
    ""promesses"", ""pouvoir"", ""achat"", ""innovation"", ""quinquennats"", ""forfaits"",
    ""mobiles"", ""prix"", ""français"", ""croire"", ""25"", ""ans"", ""tenir"", ""stabilité"",
    ""tarifaire"", ""éloge"", ""fidélité"", ""engagement"", ""long"", ""terme"", ""confiance"",
    ""opérateur"", ""durabilité"", ""avantage"", ""clients""
  ],
  ""category"": ""commercial""
}
```"
1762571081402011959,2024-02-27 20:11:07+00:00,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var @Freebox @Free_1337 @free https://t.co/UwrutxJMD9,nephthys,Camille Bouiller,11038512,,Question technique,a fonctionne super bien la fibre free ce soir franchement c est abus d j l autre soir la tv de free oqee tait carr ment indisponible,mixed,satisfaction actuelle mais frustration passée pour un dysfonctionnement TV,"['fonctionne', 'super', 'bien', 'fibre', 'free', 'soir', 'franchement', 'abus', 'autre', 'soir', 'tv', 'oqee', 'indisponible', 'carrément', 'dommage', 'qualité', 'service', 'problème', 'réseau', 'défaut', 'délai', 'technique', 'client', 'expérience', 'différence']",probleme_reseau,"```json
{
  ""tone"": ""mixed"",
  ""tone_explanation"": ""satisfaction actuelle mais frustration passée pour un dysfonctionnement TV"",
  ""keywords"": [
    ""fonctionne"",
    ""super"",
    ""bien"",
    ""fibre"",
    ""free"",
    ""soir"",
    ""franchement"",
    ""abus"",
    ""autre"",
    ""soir"",
    ""tv"",
    ""oqee"",
    ""indisponible"",
    ""carrément"",
    ""dommage"",
    ""qualité"",
    ""service"",
    ""problème"",
    ""réseau"",
    ""défaut"",
    ""délai"",
    ""technique"",
    ""client"",
    ""expérience"",
    ""différence""
  ],
  ""category"": ""probleme_reseau""
}
```"
1811040987365421110,2024-07-10 14:13:13+00:00,"@Xavier75 et tout le réseau @Freebox sachez qu'une main courante va être déposée, et ira plus loin s'il le faut.\n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement.\nVos forfaits de merde j'en veux pas.",FrenchTea13,Mary 🐇,1035075736850362368,,Autre,et tout le r seau sachez qu une main courante va tre d pos e et ira plus loin s il le faut n6 appels en 24h avec 6 num ros diff rents quand je demande de retirer mon num ro de vos bases de donn es c est du harc lement nvos forfaits de merde j en veux pas,,,[],,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""colère et menace légale contre harcèlement perçu, langage agressif."",
  ""keywords"": [
    ""main courante"",
    ""dépôt"",
    ""appels"",
    ""24h"",
    ""numéros"",
    ""différents"",
    ""retirer"",
    ""base données"",
    ""harcèlement"",
    ""forfaits"",
    ""merde"",
    ""réseau"",
    ""demande"",
    ""nvos"",  /* contraction de ""vos"" */
    ""en veux pas"",
    ""plus loin"",
    ""s’il le faut"",
    ""N6"",  /* probablement ""6"" mal orthographié */
    ""c’est"",
    ""du"",
    ""quand"",
    ""je"",
    ""vous"",
    ""mes"",  /* sous-entendu dans ""mon numéro"" */
    ""problème""
  ],
  ""category"": ""plainte service""
}
```"
1812874502642049501,2024-07-15 15:38:57+00:00,"@free @Xavier75 Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?",Tubbydev,Tubbydev,449802600,,Question technique,installer la fibre sans autorisation du propri taire et en per ant de partout c est normal,negative,ton sarcastique et critique envers une installation non autorisée,"['installer', 'fibre', 'sans', 'autorisation', 'propriétaire', 'perçant', 'partout', 'normal', 'travaux', 'logement', 'dégâts', 'intervention', 'illégal', 'droit', 'locataire', 'opérateur', 'réseau', 'domicile', 'problème', 'respect', 'règles', 'abus', 'technicien', 'démarches', 'consentement']",plainte service,"```json
{
  ""tone"": ""negative"",
  ""tone_explanation"": ""ton sarcastique et critique envers une installation non autorisée"",
  ""keywords"": [
    ""installer"",
    ""fibre"",
    ""sans"",
    ""autorisation"",
    ""propriétaire"",
    ""perçant"",
    ""partout"",
    ""normal"",
    ""travaux"",
    ""logement"",
    ""dégâts"",
    ""intervention"",
    ""illégal"",
    ""droit"",
    ""locataire"",
    ""opérateur"",
    ""réseau"",
    ""domicile"",
    ""problème"",
    ""respect"",
    ""règles"",
    ""abus"",
    ""technicien"",
    ""démarches"",
    ""consentement""
  ],
  ""category"": ""plainte service""
}
```"
