tweet_id,tweet,sentiment,sentiment_score,theme,theme_score,urgence,urgence_score,confiance,reponse_free
1343458257915031553,"à parce que débit très instable, n nfree en france: vitesse, performances, pannes et commentaires des utilisateurs n internet free n nvia",negatif,0.9,Pannes / Coupures,0.9,1,0.75,0.8492,Nous sommes désolés de l'instabilité de votre débit. Nous avons pris note de vos commentaires et nous allons vérifier votre ligne. Nous vous invitons à nous contacter par DM pour en savoir plus sur votre situation. Nous sommes là pour vous aider.
1485331097844129798,et vous ça se passe comment la fibre ? n c est la misère vraiment jpp,negatif,0.95,Fibre,0.9,2,0.9,0.9158,Nous entendons votre inquiétude concernant la fibre. Nous sommes désolés de l'expérience que vous vivez et nous nous engageons à vous aider. Veuillez nous contacter par DM pour plus d'informations et pour que nous puissions vous aider à résoudre ce problème.
1694675653205860558,"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. j étais ce matin aux côtés d idriss, formateur au centre de formation technique à argenteuil, dans le val d oise.",neutre,0.9,Fibre,0.9,1,0.7,0.8325,Nous sommes ravis d'entendre que vous êtes engagé dans la formation de nos techniciens. Votre engagement contribue à améliorer la qualité de notre service. Merci d'Idriss et de ses efforts. 🤝
1695912123824546156,"hello , et je crois que nous allons avoir prochainement un gros problème de fibre pboe",negatif,0.9,Fibre,0.9,1,0.7,0.8325,Nous sommes désolé de l'inconvenient que vous rencontrez avec votre fibre PBOE. Nous sommes prêts à vous aider. Veuillez nous contacter par DM pour plus d'informations et une prise en charge prioritaire.
1711773973401235737,"n nen 3 ans l équipe technique de free le boc m a t on dit n est pas capable d amener 3 mètres ou moins! de câble fibre, afin que j ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts . satisfaisant?!",negatif,0.95,Fibre,0.95,1,0.7,0.8658,Nous sommes désolé de l'expérience que vous avez vécue avec votre installation de fibre. Nous comprenons votre inquiétude et nous sommes prêts à vous aider. Pourriez-vous nous contacter par DM avec plus de détails sur votre situation ? Nous pourrons alors vous proposer une solution adaptée.
1759266279620247842,". a 25 ans et tient toujours ses promesses en terme de pouvoir d achat et d innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire",positif,0.95,information,0.95,0,0.95,0.9491,Nous sommes ravis de lire votre fidélité envers Free! Nous sommes fier de pouvoir offrir des forfaits mobiles compétitifs pendant 3 quinquennats. Merci de votre confiance. 😊
1762571081402011959,ça fonctionne super bien la fibre free ce soir... franchement c est abusé. déjà l autre soir la tv de free oqee était carrément indisponible ! ftth fibre free var,negatif,0.9,Fibre,0.95,1,0.7,0.8491,Nous sommes désolés d'entendre que vous avez rencontré des difficultés avec votre service Free Fibre ce soir. Nous sommes en train d'analyser le problème et nous vous contacterons par DM pour vous fournir plus d'informations. Nous vous remercions de nous avoir signalé cette panne.
1811040987365421110,"et tout le réseau sachez qu une main courante va être déposée, et ira plus loin s il le faut. n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c est du harcèlement. nvos forfaits de merde j en veux pas.",negatif,0.95,processus_sav,0.9,2,0.95,0.9324,"Nous sommes désolés de l'expérience décevante que vous avez vécue. Nous comprenons votre frustration et nous sommes prêts à vous aider. Pour retirer votre numéro de nos bases de données, veuillez nous contacter par DM avec votre numéro de compte et nous fournirz les numéros que vous avez reçus. Nous nous engageons à enquêter sur ces appels inattendus et à vous fournir des informations au plus vite. Nous sommes désolés pour tout l'inconfort que cela a causé."
1812874502642049501,"installer la fibre sans autorisation du propriétaire et en perçant de partout, c est normal ?",negatif,0.95,Fibre,0.9,2,0.95,0.9324,Nous sommes désolés pour l'inquiétude que cela vous a causée. La fibre optique doit être installée avec l'autorisation du propriétaire du bâtiment. Nous vous recommandons de contacter le propriétaire pour obtenir son accord avant toute installation. Nous sommes là pour vous aider si vous avez besoin.
1813101958900879811,"on ne se rend pas assez compte que sans xavier niel aujourd hui on paierait tous nos forfaits 144,99 avec 65 sms par jour, 2h d appel par mois et 150mo de données mobiles",positif,0.9,information,0.95,0,1.0,0.949,"Merci pour ton commentaire ! Nous sommes heureux d'entendre que tu apprécies Xavier Niel. En effet, grâce à lui, nos forfaits sont très compétitifs. Pour information, nos forfaits sans Xavier Niel seraient plus chers. Si tu as d'autres questions ou si tu souhaites changer de forfait, n'hesite pas à nous contacter. 😊"
